// xccs unicode
0x0000 0x0000
0x0001 0x0001
0x0002 0x0002
0x0003 0x0003
0x0004 0x0004
0x0005 0x0005
0x0006 0x0006
0x0007 0x0007
0x0008 0x0008
0x0009 0x0009
0x000A 0x000A
0x000B 0x000B
0x000C 0x000C
0x000D 0x000D
0x000E 0x000E
0x000F 0x000F
0x0010 0x0010
0x0011 0x0011
0x0012 0x0012
0x0013 0x0013
0x0014 0x0014
0x0015 0x0015
0x0016 0x0016
0x0017 0x0017
0x0018 0x0018
0x0019 0x0019
0x001A 0x001A
0x001B 0x001B
0x001C 0x001C
0x001D 0x001D
0x001E 0x001E
0x001F 0x001F
0x0020 0x0020
0x0021 0x0021
0x0022 0x0022
0x0023 0x0023
0x0024 0x0024
0x0025 0x0025
0x0026 0x0026
0x0027 0x0027
0x0028 0x0028
0x0029 0x0029
0x002A 0x002A
0x002B 0x002B
0x002C 0x002C
0x002D 0x002D
0x002E 0x002E
0x002F 0x002F
0x0030 0x0030
0x0031 0x0031
0x0032 0x0032
0x0033 0x0033
0x0034 0x0034
0x0035 0x0035
0x0036 0x0036
0x0037 0x0037
0x0038 0x0038
0x0039 0x0039
0x003A 0x003A
0x003B 0x003B
0x003C 0x003C
0x003D 0x003D
0x003E 0x003E
0x003F 0x003F
0x0040 0x0040
0x0041 0x0041
0x0042 0x0042
0x0043 0x0043
0x0044 0x0044
0x0045 0x0045
0x0046 0x0046
0x0047 0x0047
0x0048 0x0048
0x0049 0x0049
0x004A 0x004A
0x004B 0x004B
0x004C 0x004C
0x004D 0x004D
0x004E 0x004E
0x004F 0x004F
0x0050 0x0050
0x0051 0x0051
0x0052 0x0052
0x0053 0x0053
0x0054 0x0054
0x0055 0x0055
0x0056 0x0056
0x0057 0x0057
0x0058 0x0058
0x0059 0x0059
0x005A 0x005A
0x005B 0x005B
0x005C 0x005C
0x005D 0x005D
0x005E 0x005E
0x005F 0x005F
0x0060 0x0060
0x0061 0x0061
0x0062 0x0062
0x0063 0x0063
0x0064 0x0064
0x0065 0x0065
0x0066 0x0066
0x0067 0x0067
0x0068 0x0068
0x0069 0x0069
0x006A 0x006A
0x006B 0x006B
0x006C 0x006C
0x006D 0x006D
0x006E 0x006E
0x006F 0x006F
0x0070 0x0070
0x0071 0x0071
0x0072 0x0072
0x0073 0x0073
0x0074 0x0074
0x0075 0x0075
0x0076 0x0076
0x0077 0x0077
0x0078 0x0078
0x0079 0x0079
0x007A 0x007A
0x007B 0x007B
0x007C 0x007C
0x007D 0x007D
0x007E 0x007E
0x00A1 0x00A1
0x00A2 0x00A2
0x00A3 0x00A3
0x00A4 0x0024
0x00A5 0x00A5
0x00A7 0x00A7
0x00A9 0x2018
0x00AA 0x201C
0x00AB 0x00AB
0x00AC 0x2190
0x00AD 0x2191
0x00AE 0x2192
0x00AF 0x2193
0x00B0 0x00B0
0x00B1 0x00B1
0x00B2 0x00B2
0x00B3 0x00B3
0x00B4 0x00D7
0x00B5 0x00B5
0x00B6 0x00B6
0x00B7 0x00B7
0x00B8 0x00F7
0x00B9 0x2019
0x00BA 0x201D
0x00BB 0x00BB
0x00BC 0x00BC
0x00BD 0x00BD
0x00BE 0x00BE
0x00BF 0x00BF
0x00C1 0x0300
0x00C2 0x0301
0x00C3 0x0302
0x00C4 0x0303
0x00C5 0x0304
0x00C6 0x0306
0x00C7 0x0307
0x00C8 0x0308
0x00CA 0x030A
0x00CB 0x0327
0x00CC 0x0332
0x00CD 0x030B
0x00CE 0x0328
0x00CF 0x030C
0x00D0 0x2015
0x00D1 0x00B9
